model,precision@10,recall@10,ndcg@10,genuine_p@10,category_p@10,scenario
Popularity,0.018533333333333332,0.010307369499933562,0.019195829280820892,0.004566666666666667,0.2462128795462129,Cold-Start
Standard MF,0.028733333333333333,0.016716067102599808,0.030995237348413838,0.007266666666666668,0.2834501167834501,Cold-Start
Causal MF,0.012033333333333333,0.007409106397504262,0.013166491868930753,0.008400000000000001,0.41398064731398065,Cold-Start
Standard LightGCN,0.003966666666666667,0.002439459810032048,0.004150858475546117,0.0015,0.5480480480480481,Cold-Start
Causal LightGCN,0.003966666666666667,0.002439459810032048,0.004150858475546117,0.0015,0.5480480480480481,Cold-Start
Causal Upper Bound,0.003966666666666667,0.002439459810032048,0.004150858475546117,0.0015,0.5480480480480481,Cold-Start
Popularity,0.0201,0.010307783872090049,0.02052700354589763,0.004300000000000001,0.223,Winter Cold-Start
Standard MF,0.029200000000000004,0.01745639964213264,0.0320247498816215,0.0088,0.2869,Winter Cold-Start
Causal MF,0.013100000000000002,0.008469278005001284,0.013402151446940224,0.009,0.4156,Winter Cold-Start
Standard LightGCN,0.0035,0.002098634315768205,0.003116258142395317,0.0012000000000000001,0.5574,Winter Cold-Start
Causal LightGCN,0.0035,0.002098634315768205,0.003116258142395317,0.0012000000000000001,0.5574,Winter Cold-Start
Causal Upper Bound,0.0035,0.002098634315768205,0.003116258142395317,0.0012000000000000001,0.5574,Winter Cold-Start
Popularity,0.0193,0.011051962216018991,0.020583388970980075,0.0058000000000000005,0.27319999999999994,Summer Cold-Start
Standard MF,0.0334,0.018848997823976348,0.036045374718689085,0.009100000000000002,0.2853,Summer Cold-Start
Causal MF,0.010700000000000001,0.006228175348919772,0.012273980655825861,0.0077,0.41459999999999997,Summer Cold-Start
Standard LightGCN,0.004,0.0024226694245963326,0.0037748419437124018,0.001,0.5528,Summer Cold-Start
Causal LightGCN,0.004,0.0024226694245963326,0.0037748419437124018,0.001,0.5528,Summer Cold-Start
Causal Upper Bound,0.004,0.0024226694245963326,0.0037748419437124018,0.001,0.5528,Summer Cold-Start
Popularity,0.0,0.0,0.0,0.0,0.0,E-commerce Domain
Standard MF,0.015550000000000001,0.012069707027006818,0.01714350186522394,0.005050000000000001,0.16963298139768726,E-commerce Domain
Causal MF,0.00905,0.007256342556388424,0.010058992508058437,0.0064,0.38531925590749116,E-commerce Domain
Standard LightGCN,0.00375,0.0028725946053825145,0.0037108139405214015,0.00135,0.5043740573152338,E-commerce Domain
Causal LightGCN,0.00375,0.0028725946053825145,0.0037108139405214015,0.00135,0.5043740573152338,E-commerce Domain
Causal Upper Bound,0.00375,0.0028725946053825145,0.0037108139405214015,0.00135,0.5043740573152338,E-commerce Domain
Popularity,0.027600000000000003,0.020533646782311264,0.029203493714786078,0.006900000000000001,0.3864545920985121,Streaming Domain
Standard MF,0.0265,0.019822402080578103,0.029001811669857994,0.00645,0.26793227296049255,Streaming Domain
Causal MF,0.01175,0.00978321953007981,0.012304744886894845,0.00575,0.30374551051821447,Streaming Domain
Standard LightGCN,0.007,0.005685061628868332,0.0073181982761090485,0.0015500000000000002,0.3816316059517701,Streaming Domain
Causal LightGCN,0.007,0.005685061628868332,0.0073181982761090485,0.0015500000000000002,0.3816316059517701,Streaming Domain
Causal Upper Bound,0.007,0.005685061628868332,0.0073181982761090485,0.0015500000000000002,0.3816316059517701,Streaming Domain
Popularity,0.0,0.0,0.0,0.0,0.10578592092574735,Level 1 - Simple
Standard MF,0.0014509576320371445,0.006152060359837492,0.00312949131293609,0.000522344747533372,0.11832208293153329,Level 1 - Simple
Causal MF,0.002089378990133488,0.00888538816571318,0.005386246607299216,0.0017991874637260593,0.1852459016393443,Level 1 - Simple
Standard LightGCN,0.0015670342426001161,0.005673935273470968,0.003727561770508689,0.0008705745792222867,0.23934426229508196,Level 1 - Simple
Causal LightGCN,0.0005803830528148578,0.002795511704391565,0.0012692577181411414,0.000522344747533372,0.35843780135004827,Level 1 - Simple
Causal Upper Bound,0.000522344747533372,0.0026020506867866127,0.0011722406229779363,0.00046430644225188626,0.238572806171649,Level 1 - Simple
Popularity,0.016700000000000003,0.009581799863705694,0.018094555315272556,0.004300000000000001,0.24630000000000002,Level 3 - Hard
Standard MF,0.028050000000000002,0.01690229969515962,0.029930822060412397,0.0079,0.29005,Level 3 - Hard
Causal MF,0.0114,0.007699629102117211,0.011784858746535072,0.00835,0.42405000000000004,Level 3 - Hard
Standard LightGCN,0.03405,0.024888472304007633,0.03622220147073243,0.01215,0.54735,Level 3 - Hard
Causal LightGCN,0.019450000000000002,0.013763580018487655,0.021177937974120792,0.0182,0.7216,Level 3 - Hard
Causal Upper Bound,0.0034500000000000004,0.0022170010442877945,0.0030987638622347385,0.0014500000000000001,0.5508,Level 3 - Hard
